Nom_exploitant,Raison_sociale,Description_infraction,Adresse_lieu_infraction,Type_etablissement,Information_etablissement,Date_infraction,Date_jugement,Date_publication,Amende,SOC_CD_LOI,SOC_NOM_LOI,SOC_CD_REGL,SOC_NOM_REGL,SOC_CD_ARTCL_INFRC,SOC_NOM_ARTCL_INFRC,SOC_CD_POURS,SOC_DESC_POURS,SOC_CD_REGRP_TYP_ENTT,SOC_DESC_REGRP_TYP_ENTT,Latitude,Longitude
9366601 CANADA INC.,SINGH'S CUISINE INDIENNE,LE PRODUIT PERISSABLE VENDU CHAUD OU SERVI CHAUD AU CONSOMMATEUR DOIT ETRE GARDE A UNE TEMPERATURE INTERNE D'AU MOINS 60C JUSQU'A SA LIVRAISON.,"3712 BOULEVARD SAINT-LAURENT MONTREAL, (QC) H2X2V4",RESTAURANT,,06/14/2025 00:00:00,02/26/2026 00:00:00,02/26/2026 00:00:00,1000 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,1.4.1               ,TEMPERATURE DE CONSERVATION,3,VILLE DE MONTREAL,21,RESTAURATION,45.5146445,-73.5745034
9140-6736 QUEBEC INC.,CAFE VICTORIA'S,"LES PERSONNES AFFECTEES A LA PREPARATION DES PRODUITS, AU LAVAGE OU AU NETTOYAGE DU MATERIEL ET DE L'EQUIPEMENT DOIVENT: PORTER UN BONNET OU UNE RESILLE PROPRE QUI RECOUVRE ENTIEREMENT LES CHEVEUX: PORTER UN COUVRE-BARBE PROPRE QUI RECOUVRE ENTIEREMENT LA BARBE.","8600 BOULEVARD LANGELIER MONTREAL, (QC) H1P2Y7",RESTAURANT,,10/31/2025 00:00:00,12/08/2025 00:00:00,12/08/2025 00:00:00,500 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,2.2.3               ,PERSONNEL,3,VILLE DE MONTREAL,21,RESTAURATION,45.598356,-73.590914
7152612 CANADA INC.,RYU (DOM-50),"LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.","975 BOULEVARD ROMEO-VACHON NORD DORVAL, (QC) H4Y1H1",RESTAURANT,,08/27/2025 00:00:00,09/29/2025 00:00:00,09/29/2025 00:00:00,1000 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,1.4.1               ,TEMPERATURE DE CONSERVATION,3,VILLE DE MONTREAL,21,RESTAURATION,45.4577452,-73.7512963
9345-5723 QUEBEC INC.,RESTO BAR NICKELS ST-LAURENT,"LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.","1991 BOULEVARD MARCEL-LAURIN MONTREAL, (QC) H4R1K4",RESTAURANT,,08/20/2025 00:00:00,03/02/2026 00:00:00,03/02/2026 00:00:00,1000 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,1.4.1               ,TEMPERATURE DE CONSERVATION,3,VILLE DE MONTREAL,21,RESTAURATION,45.5185623,-73.7000505
9141-5315 QUEBEC INC.,TIM HORTONS,"LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.","3650 RUE DE SALABERRY MONTREAL, (QC) H8Y3L4",RESTAURANT,,08/27/2025 00:00:00,09/29/2025 00:00:00,09/29/2025 00:00:00,1000 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,1.4.1               ,TEMPERATURE DE CONSERVATION,3,VILLE DE MONTREAL,21,RESTAURATION,45.5035778,-73.7579907
9458-2095 QUEBEC INC.,LA REINE PATISSIERE,LE PRODUIT PERISSABLE VENDU CHAUD OU SERVI CHAUD AU CONSOMMATEUR DOIT ETRE GARDE A UNE TEMPERATURE INTERNE D'AU MOINS 60C JUSQU'A SA LIVRAISON.,"12210 BOULEVARD LAURENTIEN MONTREAL, (QC) H4K1M9",PATISSERIE,,09/17/2025 00:00:00,03/02/2026 00:00:00,03/02/2026 00:00:00,1000 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,1.4.1               ,TEMPERATURE DE CONSERVATION,3,VILLE DE MONTREAL,20,DÉTAIL,45.527319,-73.7199628
9359-9298 QUEBEC INC.,KABAB,"LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.","3131 BOULEVARD DE LA COTE-VERTU M2B MONTREAL, (QC) H4R1Y8",RESTAURANT,,09/26/2025 00:00:00,11/05/2025 00:00:00,11/05/2025 00:00:00,1000 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,1.4.1               ,TEMPERATURE DE CONSERVATION,3,VILLE DE MONTREAL,21,RESTAURATION,,
9362-9244 QUEBEC INC.,RESTAURANT CHEZ CHILI,"LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.","1050B RUE CLARK MONTREAL, (QC) H2Z1K2",RESTAURANT,,10/10/2025 00:00:00,12/05/2025 00:00:00,12/05/2025 00:00:00,1000 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,1.4.1               ,TEMPERATURE DE CONSERVATION,3,VILLE DE MONTREAL,21,RESTAURATION,45.5096457,-73.564589
9393-8132 QUEBEC INC.,RESTAURANT MANO CORNUTO/ MANO FIGA,"LES PERSONNES AFFECTEES A LA PREPARATION DES PRODUITS, AU LAVAGE OU AU NETTOYAGE DU MATERIEL ET DE L'EQUIPEMENT DOIVENT: PORTER UN BONNET OU UNE RESILLE PROPRE QUI RECOUVRE ENTIEREMENT LES CHEVEUX: PORTER UN COUVRE-BARBE PROPRE QUI RECOUVRE ENTIEREMENT LA BARBE.","988 RUE OTTAWA MONTREAL, (QC) H3C1S3",RESTAURANT,,09/17/2025 00:00:00,10/14/2025 00:00:00,10/14/2025 00:00:00,500 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,2.2.3               ,PERSONNEL,3,VILLE DE MONTREAL,21,RESTAURATION,45.4950791,-73.5584696
9451-9493 QUEBEC INC.,LE SALOON BISTRO BAR,"LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.","1333 RUE SAINTE-CATHERINE EST MONTREAL, (QC) H2L2H4",BRASSERIE,,10/29/2025 00:00:00,01/12/2026 00:00:00,01/12/2026 00:00:00,1000 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,1.4.1               ,TEMPERATURE DE CONSERVATION,3,VILLE DE MONTREAL,21,RESTAURATION,45.5198593,-73.5550471
SANDWICHERIE SAMING INC.,SANDWICHERIE SAMING,"LES PERSONNES AFFECTEES A LA PREPARATION DES PRODUITS, AU LAVAGE OU AU NETTOYAGE DU MATERIEL ET DE L'EQUIPEMENT DOIVENT: PORTER UN BONNET OU UNE RESILLE PROPRE QUI RECOUVRE ENTIEREMENT LES CHEVEUX: PORTER UN COUVRE-BARBE PROPRE QUI RECOUVRE ENTIEREMENT LA BARBE.","6595 RUE SAINT-HUBERT MONTREAL, (QC) H2S2M5",RESTAURANT,,03/20/2025 00:00:00,11/24/2025 00:00:00,11/24/2025 00:00:00,500 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,2.2.3               ,PERSONNEL,3,VILLE DE MONTREAL,21,RESTAURATION,45.5369339,-73.6046209
9371-5191 QUEBEC INC.,RESTAURANT APPAYON,"LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.","520 AVENUE OGILVY MONTREAL, (QC) H3N1M8",RESTAURANT,,04/10/2025 00:00:00,04/29/2025 00:00:00,04/29/2025 00:00:00,500 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,1.4.1               ,TEMPERATURE DE CONSERVATION,3,VILLE DE MONTREAL,21,RESTAURATION,45.5287925,-73.6252461
9479-2843 QUEBEC INC.,MARCHE MOONSTAR,"LES PERSONNES AFFECTEES A LA PREPARATION DES PRODUITS, AU LAVAGE OU AU NETTOYAGE DU MATERIEL ET DE L'EQUIPEMENT DOIVENT: PORTER UN BONNET OU UNE RESILLE PROPRE QUI RECOUVRE ENTIEREMENT LES CHEVEUX: PORTER UN COUVRE-BARBE PROPRE QUI RECOUVRE ENTIEREMENT LA BARBE.","7230 RUE HUTCHISON MONTREAL, (QC) H3N1Z1",RESTAURANT,,06/19/2025 00:00:00,07/23/2025 00:00:00,07/23/2025 00:00:00,500 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,2.2.3               ,PERSONNEL,3,VILLE DE MONTREAL,21,RESTAURATION,45.5297107,-73.623548
LA BRIOCHE +INC.,LA BRIOCHE +,"LES ALIMENTS NON EMBALLES ET DETENUS POUR FINS DE VENTE AU DETAIL, SAUF LES FRUITS ET LEGUMES FRAIS ET ENTIERS ET LES ALIMENTS EN VRAC, DOIVENT ETRE MAINTENUS A L'ABRI DES MANIPULATIONS DU PUBLIC.","1650 RUE POIRIER MONTREAL, (QC) H4L1J1",PATISSERIE,,07/24/2025 00:00:00,01/08/2026 00:00:00,01/08/2026 00:00:00,500 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,2.2.4               ,ALIMENTS EN VRAC A L'ABRI DU PUBLIC,3,VILLE DE MONTREAL,20,DÉTAIL,45.519624,-73.696904
9375-1105 QUEBEC INC.,RESTAURANT CORNICELLO,"LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.","5595 BOULEVARD GOUIN OUEST MONTREAL, (QC) H4J1C8",RESTAURANT,,07/24/2025 00:00:00,03/04/2026 00:00:00,03/04/2026 00:00:00,1000 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,1.4.1               ,TEMPERATURE DE CONSERVATION,3,VILLE DE MONTREAL,21,RESTAURATION,45.5335892,-73.7177355
9386-0443 QUEBEC INC.,BIRYANI & CO,LE PRODUIT PERISSABLE VENDU CHAUD OU SERVI CHAUD AU CONSOMMATEUR DOIT ETRE GARDE A UNE TEMPERATURE INTERNE D'AU MOINS 60C JUSQU'A SA LIVRAISON.,"11835 BOULEVARD LAURENTIEN MONTREAL, (QC) H4J2M1",RESTAURANT,,07/29/2025 00:00:00,03/04/2026 00:00:00,03/04/2026 00:00:00,1000 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,1.4.1               ,TEMPERATURE DE CONSERVATION,3,VILLE DE MONTREAL,21,RESTAURATION,45.5246222,-73.7106372
9402-1664 QUEBEC INC.,NOUVEAU MARCHE AICHA,"LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.","2445 RUE DE SALABERRY MONTREAL, (QC) H3M1L1",EPICERIE/BOUCHERIE,,10/07/2025 00:00:00,10/14/2025 00:00:00,10/14/2025 00:00:00,500 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,2.1.2               ,,3,VILLE DE MONTREAL,20,DÉTAIL,45.5386881,-73.6990041
GROUPE COMPASS (QUEBEC) LTEE,COMMISSION DE LA CONSTRUCTION DU QUEBEC (COMPASS),"LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.","8485 AVENUE CHRISTOPHE-COLOMB MONTREAL, (QC) H2M0A7",CAFETERIA,,04/22/2025 00:00:00,07/10/2025 00:00:00,07/10/2025 00:00:00,1000 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,1.4.1               ,TEMPERATURE DE CONSERVATION,3,VILLE DE MONTREAL,21,RESTAURATION,45.551624,-73.6289194
9529-9780 QUEBEC INC,MONT-ROYAL HOT-DOG,LE PRODUIT PERISSABLE VENDU CHAUD OU SERVI CHAUD AU CONSOMMATEUR DOIT ETRE GARDE A UNE TEMPERATURE INTERNE D'AU MOINS 60C JUSQU'A SA LIVRAISON.,"1001 AVENUE DU MONT-ROYAL EST MONTREAL, (QC) H2J1X7",RESTAURANT,,06/04/2025 00:00:00,03/04/2026 00:00:00,03/04/2026 00:00:00,1000 $,P-29,"Loi sur les produits alimentaires (RLRQ, chapitre P-29)",r.1            ,REGLEMENT SUR LES ALIMENTS,1.4.1               ,TEMPERATURE DE CONSERVATION,3,VILLE DE MONTREAL,21,RESTAURATION,45.5275146,-73.5798355
